unix,date,symbol,open,high,low,close,Volume CORN,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1673481600000,2023-01-12 00:00:00,CORN/USDT,7.07,7.07,7.07,7.07,0,0,0,0,0,7.07
1673395200000,2023-01-11 00:00:00,CORN/USDT,7.07,7.07,7.07,7.07,0.88348134,0.124962,0,0,1,7.07
1673308800000,2023-01-10 00:00:00,CORN/USDT,7.99,7.99,7.99,7.99,0,0,0,0,0,7.99
1673222400000,2023-01-09 00:00:00,CORN/USDT,7.99,7.99,7.99,7.99,0.99999644,0.125156,0.99999644,0.125156,1,7.99
1673136000000,2023-01-08 00:00:00,CORN/USDT,7.9,7.9,7.89,7.89,3.00999585,0.381333,3.00999585,0.381333,2,7.893355483696098783
1673049600000,2023-01-07 00:00:00,CORN/USDT,6.66,6.66,6.66,6.66,33.40717272,5.016092,33.40717272,5.016092,1,6.66
1672963200000,2023-01-06 00:00:00,CORN/USDT,5.94,7.82,5.94,7.49,139.91846118,21.063766,86.79593592,12.25574,16,6.696430311371438994
1672876800000,2023-01-05 00:00:00,CORN/USDT,6.2,6.2,2,5.93,246.22920062,57.656365,4.84094364,0.816348,21,4.774014855855888691
1672790400000,2023-01-04 00:00:00,CORN/USDT,6.2,6.2,6.2,6.2,0,0,0,0,0,6.2
1672704000000,2023-01-03 00:00:00,CORN/USDT,6.2,6.2,6.2,6.2,0,0,0,0,0,6.2
1672617600000,2023-01-02 00:00:00,CORN/USDT,6.2,6.2,6.2,6.2,0,0,0,0,0,6.2
1672531200000,2023-01-01 00:00:00,CORN/USDT,6.2,6.2,6.2,6.2,0,0,0,0,0,6.2
